authors,title,pub_date,source,doi,abstract,rank,url
"Le Gall, J.",Stochastic Differential Equations,2016-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-319-31089-3_8,,23,"http://link.springer.com/content/pdf/10.1007/978-3-319-31089-3_8
http://dx.doi.org/10.1007/978-3-319-31089-3_8"
,ANTICIPATING STOCHASTIC DIFFERENTIAL EQUATIONS,1990-12-31 00:00:00,SupportedSources.CROSSREF,10.1515/9783112319024-004,,24,"https://www.degruyter.com/view/book/9783112319024/10.1515/9783112319024-004.xml
https://www.degruyter.com/document/doi/10.1515/9783112319024-004/pdf
http://dx.doi.org/10.1515/9783112319024-004"
"Zhang, J.",Stochastic Differential Equations,2017-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-1-4939-7256-2_3,,25,"http://link.springer.com/content/pdf/10.1007/978-1-4939-7256-2_3
http://dx.doi.org/10.1007/978-1-4939-7256-2_3"
"von Weizsäcker, H.,Winkler, G.",Stochastic Differential Equations,1990-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-663-13923-2_11,,26,"http://link.springer.com/content/pdf/10.1007/978-3-663-13923-2_11
http://dx.doi.org/10.1007/978-3-663-13923-2_11"
"Panik, M.",Stochastic Differential Equations,2017-04-04 00:00:00,SupportedSources.CROSSREF,10.1002/9781119377399,,27,"https://onlinelibrary.wiley.com/doi/full/10.1002/9781119377399
http://dx.doi.org/10.1002/9781119377399"
"Kloeden, P.",Stochastic Differential Equations,2011-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-642-04898-2_569,,28,"http://link.springer.com/content/pdf/10.1007/978-3-642-04898-2_569
http://dx.doi.org/10.1007/978-3-642-04898-2_569"
"Nisio, M.",Stochastic Differential Equations,2014-10-20 00:00:00,SupportedSources.CROSSREF,10.1007/978-4-431-55123-2_1,,29,"https://link.springer.com/content/pdf/10.1007/978-4-431-55123-2_1
http://dx.doi.org/10.1007/978-4-431-55123-2_1"
"Antonelli, F.",Backward-Forward Stochastic Differential Equations,1993-08-01 00:00:00,SupportedSources.CROSSREF,10.1214/aoap/1177005363,,30,"http://projecteuclid.org/download/pdf_1/euclid.aoap/1177005363
http://dx.doi.org/10.1214/aoap/1177005363"
"Giandomenico, R.",Stochastic Differential Equations,2015-01-01 00:00:00,SupportedSources.CROSSREF,10.2139/ssrn.2575456,,31,http://dx.doi.org/10.2139/ssrn.2575456
"Karatzas, I.,Shreve, S.",Stochastic Differential Equations,1998-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-1-4612-0949-2_5,,32,"http://link.springer.com/content/pdf/10.1007/978-1-4612-0949-2_5
http://dx.doi.org/10.1007/978-1-4612-0949-2_5"
"Poznyak, A.",Stochastic Differential Equations,2009-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/b978-0-08-044673-8.00016-x,,33,"https://api.elsevier.com/content/article/PII:B978008044673800016X?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:B978008044673800016X?httpAccept=text/plain
http://dx.doi.org/10.1016/b978-0-08-044673-8.00016-x"
,Stochastic differential equations,2011-10-06 00:00:00,SupportedSources.CROSSREF,10.1017/cbo9780511997044.026,,34,"https://www.cambridge.org/core/services/aop-cambridge-core/content/view/D94C6F8C43458D305370036BB2DA03DB
http://dx.doi.org/10.1017/cbo9780511997044.026"
"Gawarecki, L.,Mandrekar, V.",Stochastic Differential Equations,2011-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-642-16194-0_3,,35,"https://link.springer.com/content/pdf/10.1007/978-3-642-16194-0_3
http://dx.doi.org/10.1007/978-3-642-16194-0_3"
"Lakshmikantham, V.,Deo, S.",Stochastic Differential Equations,2019-09-10 00:00:00,SupportedSources.CROSSREF,10.1201/9780203747452-7,,36,http://dx.doi.org/10.1201/9780203747452-7
"Pardoux, E.,Răşcanu, A.",Stochastic Differential Equations,2014-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-319-05714-9_3,,37,"https://link.springer.com/content/pdf/10.1007/978-3-319-05714-9_3
http://dx.doi.org/10.1007/978-3-319-05714-9_3"
"Talay, D.",How to discretize stochastic differential equations,1982-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/bfb0064866,,38,"http://link.springer.com/content/pdf/10.1007/BFb0064866
http://dx.doi.org/10.1007/bfb0064866"
"Lindström, E.,Madsen, H.,Nielsen, J.",Stochastic differential equations,2018-09-03 00:00:00,SupportedSources.CROSSREF,10.1201/9781315372204-8,,39,http://dx.doi.org/10.1201/9781315372204-8
"McShane, E.",Stochastic differential equations,1975-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/0047-259x(75)90036-6,,40,"https://api.elsevier.com/content/article/PII:0047259X75900366?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:0047259X75900366?httpAccept=text/plain
http://dx.doi.org/10.1016/0047-259x(75)90036-6"
"Nagasawa, M.",Stochastic Differential Equations of Pure-Jumps,2000-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-0348-8383-2_8,,41,"http://link.springer.com/content/pdf/10.1007/978-3-0348-8383-2_8.pdf
http://dx.doi.org/10.1007/978-3-0348-8383-2_8"
"McShane, E.",Stochastic Differential Equations,1974-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/b978-0-12-486250-0.50010-3,,42,"https://api.elsevier.com/content/article/PII:B9780124862500500103?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:B9780124862500500103?httpAccept=text/plain
http://dx.doi.org/10.1016/b978-0-12-486250-0.50010-3"
,Stochastic differential equations,2004-07-05 00:00:00,SupportedSources.CROSSREF,10.1017/cbo9780511755323.009,,43,"https://www.cambridge.org/core/services/aop-cambridge-core/content/view/4D637C32DE60634F50F83993800C2B67
http://dx.doi.org/10.1017/cbo9780511755323.009"
"Wolf, D.",Stochastic differential equations,None,SupportedSources.CROSSREF,10.1007/bfb0105462,,44,"http://link.springer.com/content/pdf/10.1007/BFb0105462.pdf
http://dx.doi.org/10.1007/bfb0105462"
,Stochastic Differential Equations,None,SupportedSources.CROSSREF,10.1007/springerreference_205651,,45,http://dx.doi.org/10.1007/springerreference_205651
U. Hassler,Stochastic Differential Equations (SDE),None,SupportedSources.SEMANTIC_SCHOLAR,10.1007/978-3-319-23428-1_12,,46,https://www.semanticscholar.org/paper/3f6dfe886ccb0405007a5f08d0a47b2f4130ae33
"Schuss, Z.",Stochastic Differential Equations,2009-11-27 00:00:00,SupportedSources.CROSSREF,10.1007/978-1-4419-1605-1_4,,47,"https://link.springer.com/content/pdf/10.1007/978-1-4419-1605-1_4
http://dx.doi.org/10.1007/978-1-4419-1605-1_4"
"Friedman, A.",Stochastic Differential Equations,1975-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/b978-0-12-268201-8.50010-4,,48,"https://api.elsevier.com/content/article/PII:B9780122682018500104?httpAccept=text/xml
https://api.elsevier.com/content/article/PII:B9780122682018500104?httpAccept=text/plain
http://dx.doi.org/10.1016/b978-0-12-268201-8.50010-4"
"Klenke, A.",Stochastic Differential Equations,2014-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-1-4471-5361-0_26,,49,"https://link.springer.com/content/pdf/10.1007/978-1-4471-5361-0_26
http://dx.doi.org/10.1007/978-1-4471-5361-0_26"
"Chung, K.,Williams, R.",Stochastic Differential Equations,2013-10-24 00:00:00,SupportedSources.CROSSREF,10.1007/978-1-4614-9587-1_10,,50,"https://link.springer.com/content/pdf/10.1007/978-1-4614-9587-1_10
http://dx.doi.org/10.1007/978-1-4614-9587-1_10"
,Stochastic differential equations,2009-04-30 00:00:00,SupportedSources.CROSSREF,10.1017/cbo9780511809781.010,,51,"https://www.cambridge.org/core/services/aop-cambridge-core/content/view/AFDA410BA5697E948BE7F5C1A92BB6DD
http://dx.doi.org/10.1017/cbo9780511809781.010"
